dataset,method,seed,retention,selection_rule,original_dim,selected_dim,reduction_pct,original_accuracy,selected_accuracy,accuracy_delta_pct_points,original_f1,selected_f1,f1_delta_pct_points,total_time_sec,selected_features
BrainMethod.csv,VT,0,0.75,"top variance features, retention=0.75",21,16,23.80952380952381,0.9323090485485801,0.9054845412757383,-2.68245072728418,0.8929960982795682,0.8512020843584991,-4.179401392106907,109.88904535025358,LOC;NOAV;LAA;FANIN;FANOUT;NOEU;CCL;CYCLO;CM;NOLV;ALD;CALIN;CC;FANOUTCLASS;CINT;ATFD
BrainMethod.csv,VT,1,0.75,"top variance features, retention=0.75",21,16,23.80952380952381,0.9341351300295951,0.9112776273534412,-2.285750267615394,0.8971055763084639,0.859410591844998,-3.7694984463465864,100.15884921699762,LOC;NOAV;LAA;FANIN;FANOUT;NOEU;CCL;CYCLO;CM;NOLV;ALD;CALIN;CC;FANOUTCLASS;CINT;ATFD
BrainMethod.csv,VT,2,0.75,"top variance features, retention=0.75",21,16,23.80952380952381,0.9265789307978087,0.9117813739688937,-1.4797556828915037,0.8836429218687021,0.8565168154022729,-2.712610646642921,100.45480267703533,LOC;NOAV;LAA;FANIN;FANOUT;NOEU;CCL;CYCLO;CM;NOLV;ALD;CALIN;CC;FANOUTCLASS;CINT;ATFD
BrainMethod.csv,VT,3,0.75,"top variance features, retention=0.75",21,16,23.80952380952381,0.9194635098545432,0.9155594735847868,-0.3904036269756328,0.8733913279344723,0.8601552294859128,-1.3236098448559441,98.3620236814022,LOC;NOAV;LAA;FANIN;FANOUT;NOEU;CCL;CYCLO;CM;NOLV;ALD;CALIN;CC;FANOUTCLASS;CINT;ATFD
BrainMethod.csv,VT,4,0.75,"top variance features, retention=0.75",21,16,23.80952380952381,0.9350796549335684,0.910333102449468,-2.4746552484100404,0.8974500162252376,0.8573074447705894,-4.014257145464817,107.28371482342482,LOC;NOAV;LAA;FANIN;FANOUT;NOEU;CCL;CYCLO;CM;NOLV;ALD;CALIN;CC;FANOUTCLASS;CINT;ATFD
