dataset,method,seed,retention,selection_rule,original_dim,selected_dim,reduction_pct,original_accuracy,selected_accuracy,accuracy_delta_pct_points,original_f1,selected_f1,f1_delta_pct_points,total_time_sec,selected_features
MagicGamma.csv,RFC,3,0.75,"RandomForest feature importance top-k, k=8",10,8,20.0,0.8004731861198738,0.8054679284963197,0.49947423764458154,0.7416618953630982,0.7551834019815207,1.352150661842244,34.19253922253847,fAlpha;fLength;fWidth;fSize;fM3Long;fDist;fConc;fConc1
MagicGamma.csv,RFC,4,0.75,"RandomForest feature importance top-k, k=8",10,8,20.0,0.7216088328075709,0.729758149316509,0.814931650893802,0.5963594116583194,0.6145006080432049,1.8141196384885538,43.38589156419039,fAlpha;fLength;fWidth;fSize;fM3Long;fDist;fConc;fConc1
BrainMethod.csv,MI,0,0.75,"SelectKBest(mutual_info_classif), k=16",21,16,23.80952380952381,0.9323090485485801,0.9270197090863296,-0.528933946225052,0.8929960982795682,0.8823149886359261,-1.0681109643642106,192.26284912973642,ALD;ATFD;CALIN;CCL;CDISP;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,MI,1,0.75,"SelectKBest(mutual_info_classif), k=16",21,16,23.80952380952381,0.9341351300295951,0.9308607770291544,-0.3274353000440766,0.8971055763084639,0.8879326274581785,-0.9172948850285412,180.230341270566,ALD;ATFD;CALIN;CCL;CDISP;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,MI,2,0.75,"SelectKBest(mutual_info_classif), k=16",21,16,23.80952380952381,0.9265789307978087,0.9212266230086267,-0.5352307789182054,0.8836429218687021,0.8710905475059865,-1.2552374362715613,119.54489520192146,ALD;ATFD;CALIN;CCL;CDISP;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,MI,3,0.75,"SelectKBest(mutual_info_classif), k=16",21,16,23.80952380952381,0.9194635098545432,0.9245009760090674,0.5037466154524273,0.8733913279344723,0.8765757483802743,0.31844204458020275,137.82814406603575,ALD;ATFD;CALIN;CCL;CDISP;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,MI,4,0.75,"SelectKBest(mutual_info_classif), k=16",21,16,23.80952380952381,0.9350796549335684,0.9202820981046533,-1.4797556828915037,0.8974500162252376,0.873602446204794,-2.3847570020443576,142.16301587969065,ALD;ATFD;CALIN;CCL;CDISP;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,CHI,0,0.75,"SelectKBest(chi2 after MinMaxScaler), k=16",21,16,23.80952380952381,0.9323090485485801,0.9281531389710975,-0.4155909577482575,0.8929960982795682,0.8833521219744431,-0.9643976305125035,202.21381156146526,ATFD;CALIN;CCL;CDISP;CEXT;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,CHI,1,0.75,"SelectKBest(chi2 after MinMaxScaler), k=16",21,16,23.80952380952381,0.9341351300295951,0.9200931931238587,-1.4041936905736407,0.8971055763084639,0.8734717219315151,-2.363385437694876,138.35123367607594,ATFD;CALIN;CCL;CDISP;CEXT;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,CHI,2,0.75,"SelectKBest(chi2 after MinMaxScaler), k=16",21,16,23.80952380952381,0.9265789307978087,0.9272086140671242,0.06296832693154508,0.8836429218687021,0.8802164003303281,-0.3426521538373972,151.61968808621168,ATFD;CALIN;CCL;CDISP;CEXT;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,CHI,3,0.75,"SelectKBest(chi2 after MinMaxScaler), k=16",21,16,23.80952380952381,0.9194635098545432,0.9255084692399723,0.604495938542915,0.8733913279344723,0.8779092002127254,0.45178722782531766,167.72172474116087,ATFD;CALIN;CCL;CDISP;CEXT;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,CHI,4,0.75,"SelectKBest(chi2 after MinMaxScaler), k=16",21,16,23.80952380952381,0.9350796549335684,0.9200302247969272,-1.5049430136641173,0.8974500162252376,0.8731106712090516,-2.4339345016185954,191.0778959840536,ATFD;CALIN;CCL;CDISP;CEXT;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,RFE,0,0.75,"RFE(RandomForestClassifier), k=16",21,16,23.80952380952381,0.9323090485485801,0.936276053145268,0.3967004596687862,0.8929960982795682,0.8966579824137964,0.3661884134228188,147.91354505717754,ALD;CALIN;CC;CCL;CYCLO;FANIN;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOEU;NOLV;NOP
BrainMethod.csv,RFE,1,0.75,"RFE(RandomForestClassifier), k=16",21,16,23.80952380952381,0.9341351300295951,0.9193375732006801,-1.4797556828915037,0.8971055763084639,0.8765998247769473,-2.050575153151657,248.5092699304223,ALD;CALIN;CC;CCL;CYCLO;FANIN;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOEU;NOLV;NOP
BrainMethod.csv,RFE,2,0.75,"RFE(RandomForestClassifier), k=16",21,16,23.80952380952381,0.9265789307978087,0.9212895913355582,-0.528933946225052,0.8836429218687021,0.8765125421267886,-0.713037974191344,188.84563391655684,ALD;CALIN;CC;CCL;CYCLO;FANIN;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOEU;NOLV;NOP
BrainMethod.csv,RFE,3,0.75,"RFE(RandomForestClassifier), k=16",21,16,23.80952380952381,0.9194635098545432,0.9321831118947169,1.271960204017375,0.8733913279344723,0.891346581820396,1.7955253885923672,220.09144096076488,ALD;CALIN;CC;CCL;CYCLO;FANIN;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOEU;NOLV;NOP
BrainMethod.csv,RFE,4,0.75,"RFE(RandomForestClassifier), k=16",21,16,23.80952380952381,0.9350796549335684,0.9209117813739689,-1.4167873559599475,0.8974500162252376,0.8782466127757903,-1.9203403449447265,194.12885212153196,ALD;ATFD;CALIN;CC;CCL;CYCLO;FANIN;FANOUT;FDP;LAA;LOC;MAXNESTING;NOAV;NOEU;NOLV;NOP
BrainMethod.csv,RFC,0,0.75,"RandomForest feature importance top-k, k=16",21,16,23.80952380952381,0.9323090485485801,0.936276053145268,0.3967004596687862,0.8929960982795682,0.8966579824137964,0.3661884134228188,141.56374077498913,CYCLO;MAXNESTING;LAA;NOP;LOC;FDP;NOLV;FANOUT;NOAV;FANOUTCLASS;CCL;CC;ALD;FANIN;NOEU;CALIN
BrainMethod.csv,RFC,1,0.75,"RandomForest feature importance top-k, k=16",21,16,23.80952380952381,0.9341351300295951,0.9193375732006801,-1.4797556828915037,0.8971055763084639,0.8765998247769473,-2.050575153151657,217.53597490489483,CYCLO;MAXNESTING;LAA;NOP;LOC;FDP;NOLV;FANOUT;NOAV;CCL;CC;ALD;FANIN;NOEU;CALIN;FANOUTCLASS
BrainMethod.csv,RFC,2,0.75,"RandomForest feature importance top-k, k=16",21,16,23.80952380952381,0.9265789307978087,0.9212895913355582,-0.528933946225052,0.8836429218687021,0.8765125421267886,-0.713037974191344,176.42905317991972,CYCLO;LAA;MAXNESTING;NOP;LOC;NOLV;FDP;NOAV;FANOUT;CCL;CC;FANIN;ALD;FANOUTCLASS;NOEU;CALIN
BrainMethod.csv,RFC,3,0.75,"RandomForest feature importance top-k, k=16",21,16,23.80952380952381,0.9194635098545432,0.9359612115106102,1.649770165606701,0.8733913279344723,0.896604205449881,2.321287751540868,153.44814550876617,CYCLO;MAXNESTING;LAA;NOP;LOC;FDP;NOLV;FANOUT;NOAV;CCL;CC;FANOUTCLASS;ALD;FANIN;ATFD;NOEU
BrainMethod.csv,RFC,4,0.75,"RandomForest feature importance top-k, k=16",21,16,23.80952380952381,0.9350796549335684,0.9273345507209874,-0.7745104212581011,0.8974500162252376,0.885942086949785,-1.1507929275452522,181.68088011443615,CYCLO;LAA;MAXNESTING;NOP;LOC;FDP;NOLV;FANOUT;NOAV;CCL;CC;FANOUTCLASS;ALD;FANIN;CALIN;ATFD
