dataset,method,seed,retention,selection_rule,original_dim,selected_dim,reduction_pct,original_accuracy,selected_accuracy,accuracy_delta_pct_points,original_f1,selected_f1,f1_delta_pct_points,total_time_sec,selected_features,matched_target_dim,valid_path_count,feature_perturb_time_sec,graph_time_sec,recovery_time_sec,run_dataset,experiment_setting
MagicGamma,RFE,2,0.75,"RFE(RandomForestClassifier), k=8",10,8,20.0,0.7247634069400631,0.7841745531019979,5.941114616193477,0.6153224369360342,0.7289537087430342,11.363127180700005,48.277994610369205,fLength;fWidth;fSize;fConc;fAsym;fM3Long;fAlpha;fDist,,,,,,,
MagicGamma,RFE,3,0.75,"RFE(RandomForestClassifier), k=8",10,8,20.0,0.8004731861198738,0.7849631966351209,-1.5509989484752906,0.7416618953630982,0.7128812889962519,-2.8780606366846317,47.34507239609957,fLength;fWidth;fSize;fConc;fAsym;fM3Long;fAlpha;fDist,,,,,,,
MagicGamma,RFE,4,0.75,"RFE(RandomForestClassifier), k=8",10,8,20.0,0.7216088328075709,0.729758149316509,0.814931650893802,0.5963594116583194,0.6145006080432049,1.8141196384885538,45.417836390435696,fLength;fWidth;fSize;fConc;fConc1;fM3Long;fAlpha;fDist,,,,,,,
MagicGamma,RFC,0,0.75,"RandomForest feature importance top-k, k=8",10,8,20.0,0.8146687697160884,0.832018927444795,1.7350157728706628,0.7815583623271216,0.8053079922644009,2.374962993727925,78.17587731033564,fAlpha;fLength;fWidth;fSize;fM3Long;fDist;fConc;fConc1,,,,,,,
MagicGamma,RFC,1,0.75,"RandomForest feature importance top-k, k=8",10,8,20.0,0.7902208201892744,0.7418506834910621,-4.837013669821233,0.7229930264433035,0.6200140376575421,-10.29789887857614,34.282547160983086,fAlpha;fLength;fWidth;fSize;fM3Long;fDist;fConc;fAsym,,,,,,,
MagicGamma,RFC,2,0.75,"RandomForest feature importance top-k, k=8",10,8,20.0,0.7247634069400631,0.8101997896950578,8.543638275499465,0.6153224369360342,0.7819125334021095,16.659009646607537,49.60912437736988,fAlpha;fLength;fWidth;fSize;fM3Long;fDist;fConc;fConc1,,,,,,,
MagicGamma,RFC,3,0.75,"RandomForest feature importance top-k, k=8",10,8,20.0,0.8004731861198738,0.8054679284963197,0.49947423764458154,0.7416618953630982,0.7551834019815207,1.352150661842244,34.19253922253847,fAlpha;fLength;fWidth;fSize;fM3Long;fDist;fConc;fConc1,,,,,,,
MagicGamma,RFC,4,0.75,"RandomForest feature importance top-k, k=8",10,8,20.0,0.7216088328075709,0.729758149316509,0.814931650893802,0.5963594116583194,0.6145006080432049,1.8141196384885538,43.38589156419039,fAlpha;fLength;fWidth;fSize;fM3Long;fDist;fConc;fConc1,,,,,,,
BrainMethod,MI,0,0.75,"SelectKBest(mutual_info_classif), k=16",21,16,23.80952380952381,0.9323090485485801,0.9270197090863296,-0.528933946225052,0.8929960982795682,0.8823149886359261,-1.0681109643642106,192.26284912973642,ALD;ATFD;CALIN;CCL;CDISP;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP,,,,,,,
BrainMethod,MI,1,0.75,"SelectKBest(mutual_info_classif), k=16",21,16,23.80952380952381,0.9341351300295951,0.9308607770291544,-0.3274353000440766,0.8971055763084639,0.8879326274581785,-0.9172948850285412,180.230341270566,ALD;ATFD;CALIN;CCL;CDISP;CINT;CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP,,,,,,,
