dataset,seed,variant,selected_dim,reduction_pct,accuracy,fmeasure,accuracy_delta_pct_points,fmeasure_delta_pct_points,valid_path_count,total_time_sec,selected_features
MagicGamma.csv,0,Original,10,0.0,0.8146687697160884,0.7815583623271216,0.0,0.0,10,75.19938753545284,
MagicGamma.csv,0,Phase 1,3,70.0,0.8117770767613038,0.7722947892212926,-0.28916929547845305,-0.9263573105829037,10,121.56906201690435,fAlpha;fLength;fWidth
MagicGamma.csv,0,Phase 1+2,4,60.0,0.8028391167192429,0.7540682609272824,-1.1829652996845463,-2.7490101399839206,10,162.76356998831034,fAlpha;fLength;fSize;fWidth
MagicGamma.csv,0,Full,4,60.0,0.8028391167192429,0.7540682609272824,-1.1829652996845463,-2.7490101399839206,10,201.6676603630185,fAlpha;fLength;fSize;fWidth
MagicGamma.csv,1,Original,10,0.0,0.7902208201892744,0.7229930264433035,0.0,0.0,10,44.6343202739954,
MagicGamma.csv,1,Phase 1,3,70.0,0.8154574132492114,0.7746964942056067,2.5236593059936974,5.170346776230317,10,86.97223875671625,fAlpha;fLength;fWidth
MagicGamma.csv,1,Phase 1+2,4,60.0,0.7773396424815984,0.6983046286253791,-1.288117770767605,-2.4688397817924423,10,124.55850651860237,fAlpha;fLength;fSize;fWidth
MagicGamma.csv,1,Full,4,60.0,0.7773396424815984,0.6983046286253791,-1.288117770767605,-2.4688397817924423,10,160.94654754549265,fAlpha;fLength;fSize;fWidth
MagicGamma.csv,2,Original,10,0.0,0.7247634069400631,0.6153224369360342,0.0,0.0,10,60.649301417171955,
MagicGamma.csv,2,Phase 1,3,70.0,0.812565720294427,0.7823674123233595,8.780231335436383,16.704497538732532,10,100.54419550299644,fAlpha;fLength;fWidth
MagicGamma.csv,2,Phase 1+2,4,60.0,0.7833859095688749,0.732281350154405,5.862250262881174,11.695891321837081,10,142.4317127764225,fAlpha;fLength;fSize;fWidth
MagicGamma.csv,2,Full,4,60.0,0.7833859095688749,0.732281350154405,5.862250262881174,11.695891321837081,10,184.5914919152856,fAlpha;fLength;fSize;fWidth
MagicGamma.csv,3,Original,10,0.0,0.8004731861198738,0.7416618953630982,0.0,0.0,10,67.54080157727003,
MagicGamma.csv,3,Phase 1,3,70.0,0.8157202944269191,0.7771241604452896,1.5247108307045232,3.5462265082191413,10,109.92485052347183,fAlpha;fLength;fWidth
MagicGamma.csv,3,Phase 1+2,4,60.0,0.8054679284963197,0.7526365017752428,0.49947423764458154,1.0974606412144539,10,148.42883355170488,fAlpha;fLength;fSize;fWidth
MagicGamma.csv,3,Full,4,60.0,0.8054679284963197,0.7526365017752428,0.49947423764458154,1.0974606412144539,10,185.55974742025137,fAlpha;fLength;fSize;fWidth
MagicGamma.csv,4,Original,10,0.0,0.7216088328075709,0.5963594116583194,0.0,0.0,10,79.0635352730751,
MagicGamma.csv,4,Phase 1,3,70.0,0.8080967402733964,0.7610444199984305,8.648790746582547,16.468500834011113,10,116.42405811697245,fAlpha;fLength;fM3Long
MagicGamma.csv,4,Phase 1+2,4,60.0,0.8115141955835962,0.7688036075706497,8.990536277602523,17.24441959123303,10,160.90412358939648,fAlpha;fLength;fSize;fWidth
MagicGamma.csv,4,Full,5,50.0,0.806782334384858,0.7627361286547674,8.517350157728709,16.637671699644795,10,200.33917719125748,fAlpha;fLength;fM3Long;fSize;fWidth
BrainMethod.csv,0,Original,21,0.0,0.9323090485485801,0.8929960982795682,0.0,0.0,10,299.34805696457624,
BrainMethod.csv,0,Phase 1,5,76.19047619047619,0.9204080347585165,0.8717335269566326,-1.1901013790063586,-2.126257132293552,10,410.7587739005685,ATFD;CYCLO;LAA;LOC;MAXNESTING
BrainMethod.csv,0,Phase 1+2,4,80.95238095238095,0.8607770291543354,0.7329209214295607,-7.15320193942447,-16.00751768500075,10,504.20596055686474,ALD;CCL;CYCLO;NOP
BrainMethod.csv,0,Full,8,61.904761904761905,0.9350796549335684,0.8941138473557326,0.2770606384988272,0.11177490761644648,10,687.4584639370441,ALD;ATFD;CCL;CYCLO;LAA;LOC;MAXNESTING;NOP
BrainMethod.csv,1,Original,21,0.0,0.9341351300295951,0.8971055763084639,0.0,0.0,10,309.4142061397433,
